2025-03-25 13:12:31.536 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: Три дня делал генеральную уборку в квартире.Плюсы: она чистая.Минусы: в ней нельзя жить, она от этого пачкается.
2025-03-25 13:15:26.271 | INFO     | __main__:<module>:16 - Бот запущен
2025-03-25 13:15:27.475 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: - Товарищ Зюганов, почему КПРФ проиграла на парламентских выборах?- Так, видно, угодно Богу.
2025-03-25 13:16:27.835 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: Три кита розничного маркетинга:1. Товар - херня, главное - упаковка.2. Упаковка тоже херня, всем крутит реклама.3. И реклама херня, все дело в массовости дебилов, которые на нееведутся.
2025-03-25 13:17:28.278 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: - Ты в каком вузе учишься?- Точно не знаю, но папа говорит, что в дорогом.
2025-03-25 13:17:40.829 | INFO     | __main__:<module>:16 - Бот запущен
2025-03-25 13:17:41.709 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: Я хочу цветы, но не хочу говорить тебе, что хочу цветы. Потому что ты просто подаришь мне цветы, потому что я их хочу. А я хочу, чтобы ты подарил мне цветы, потому что тебе хочется подарить мне цветы, понимаешь?
2025-03-25 13:18:42.037 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: У кота язык - это не только язык, но и ложка, кружка, зубная щётка,щётка для меха, мыло, мочалка и туалетная бумага...
2025-03-25 13:19:42.358 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: Госдума рассматривает законопроект, который запрещает безработным пенсионерам переводить мошенникам больше 10 млн рублей в день.
2025-03-25 13:20:42.723 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: Макароны с котлетами – это просто другое агрегатное состояние пельменей.
2025-03-25 13:21:43.068 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: - Что надо сделать для того чтобы спутники успешно выходили на орбиту?- Отправлять их туда вместе с их разработчиками.
2025-03-25 13:22:43.404 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: Учительница дала классу сочинение на тему: "Что бы я сделал,если быполучил миллион?"Чеpез полчаса Вовочка поднялся из-за паpты, подошел к учительнице,деpжа в pуках бумажку с какими-то pасчетами.- Извините, а нельзя добавить еще девяносто четыpе тысячи?
2025-03-25 13:23:43.730 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: - Сёма, ви слышали, они хотят ввести электронных медицинских карт... - А кнопочка "Поделиться с друзьями" рядом с диагнозом будет?
2025-03-25 13:24:44.161 | INFO     | utils.utils:send_random_joke:31 - Опубликован анекдот: Не торопитесь ностальгировать по детству: в жизни еще будет период,когда вас будут кормить с ложечки и убирать за вами дерьмо.
